ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Canabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamin,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
28,35-40,M,University degree,UK,White,0.52135,-1.23177,-0.01928,-0.01729,-2.18109,1.86203,0.40148,Last Day,Decade Ago,Decade Ago,Last Decade,Last Day,Last Day,Last Week,Decade Ago,Never,Never,Never,Never,Last Decade,Decade Ago,Never,Last Year,Last Decade,Never,Never
29,35-40,F,Masters degree,UK,White,0.04257,-1.50796,-0.71727,0.28783,1.30612,0.19268,-0.52593,Last Day,Never,Never,Never,Last Month,Decade Ago,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
30,45-54,M,Doctorate degree,UK,White,-1.32828,1.74091,0.88309,0.94156,1.81175,-0.21712,-0.52593,Never,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
31,45-54,M,Left school at 16 years,UK,White,0.31287,-0.80615,-1.27553,-1.47955,-0.65253,-1.37983,0.07987,Last Day,Decade Ago,Decade Ago,Decade Ago,Last Day,Last Decade,Last Day,Decade Ago,Never,Never,Decade Ago,Never,Decade Ago,Decade Ago,Decade Ago,Decade Ago,Last Decade,Never,Never
32,35-40,F,Left school at 16 years,Other,White,-1.1943,-0.80615,0.14143,-0.60633,-0.00665,-1.37983,-0.84637,Last Year,Never,Never,Last Decade,Last Year,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
33,35-40,M,University degree,UK,White,-0.79151,-1.23177,-0.01928,0.43852,-0.00665,0.19268,-0.84637,Last Day,Decade Ago,Decade Ago,Never,Last Day,Last Year,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Last Day,Never,Never
34,18-24,M,University degree,UK,White,0.41667,-0.30033,0.29338,1.2861,-0.14277,-0.71126,-1.54858,Last Day,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
35,35-40,M,University degree,USA,Other,1.02119,0.63779,0.88309,-2.90161,-0.78155,0.52975,1.92173,Last Month,Last Decade,Decade Ago,Decade Ago,Last Week,Last Decade,Last Week,Last Decade,Decade Ago,Decade Ago,Decade Ago,Last Decade,Decade Ago,Decade Ago,Decade Ago,Decade Ago,Last Week,Never,Decade Ago
36,65+,M,Left school before 16 years,UK,White,-0.24649,-0.80615,-2.63199,-0.30172,-0.78155,0.52975,-1.54858,Last Year,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
37,35-40,M,University degree,UK,White,-0.24649,-0.57545,-0.17779,-0.01729,-1.5184,-0.21712,-0.21575,Last Day,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
38,55-64,M,Left school before 16 years,USA,White,0.31287,0.32197,1.06238,0.13136,-0.65253,0.52975,-0.52593,Last Day,Decade Ago,Last Decade,Decade Ago,Last Day,Last Year,Last Month,Decade Ago,Never,Never,Never,Never,Never,Decade Ago,Never,Decade Ago,Last Day,Never,Never
39,45-54,M,University degree,UK,White,-1.55078,1.2861,0.29338,-0.01729,0.7583,-0.21712,-0.84637,Last Day,Decade Ago,Never,Never,Last Month,Decade Ago,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Decade Ago,Never,Never
40,65+,F,Professional certificate/diploma,UK,White,-0.24649,-0.94779,-1.11902,-0.76096,0.41594,-1.37983,-0.21575,Last Day,Never,Never,Never,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Decade Ago,Never,Last Month,Never,Decade Ago,Never,Never
41,35-40,M,Masters degree,UK,White,0.04257,-0.43999,-0.01928,-2.07848,0.7583,-0.71126,0.07987,Last Week,Decade Ago,Never,Last Decade,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
42,35-40,F,University degree,UK,White,0.82562,0.00332,1.06238,1.81866,-0.40581,-0.21712,-0.21575,Last Month,Never,Never,Never,Last Month,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
43,35-40,M,Masters degree,UK,White,-0.14882,-0.94779,-1.27553,-0.01729,-0.65253,-0.21712,-0.52593,Last Day,Never,Last Year,Last Week,Last Day,Last Decade,Last Month,Last Day,Never,Last Month,Never,Last Decade,Last Decade,Never,Never,Never,Decade Ago,Never,Never
44,35-40,M,Professional certificate/diploma,UK,White,-0.92104,-0.57545,-0.31776,-0.15487,-1.0145,-0.21712,-0.21575,Last Day,Last Decade,Last Decade,Never,Last Day,Last Year,Last Day,Last Year,Never,Last Decade,Never,Never,Never,Last Decade,Never,Never,Last Day,Never,Never
45,25-34,M,University degree,UK,Other,-1.05308,1.45421,0.44585,1.2861,0.93949,-0.21712,0.07987,Last Week,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Decade,Never,Never
46,25-34,F,University degree,UK,White,-0.46725,0.47617,1.24033,0.94156,1.63088,-1.37983,-2.07848,Last Week,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
47,45-54,F,"Some college or university, no certificate or degree",Canada,White,0.31287,0.63779,-1.11902,0.28783,1.46191,-0.71126,-0.84637,Last Year,Never,Never,Never,Last Day,Decade Ago,Last Month,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never,Last Decade,Never,Decade Ago
48,45-54,M,Masters degree,UK,White,-2.05048,0.80523,0.29338,0.94156,1.13407,-2.55524,-1.18084,Last Week,Never,Never,Never,Last Day,Decade Ago,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
49,45-54,M,Left school at 16 years,UK,White,0.13606,-0.80615,-0.31776,-0.15487,-0.65253,0.19268,-0.84637,Last Day,Decade Ago,Decade Ago,Never,Last Day,Last Week,Last Day,Decade Ago,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Last Day,Never,Never
50,25-34,F,Masters degree,UK,Mixed White/Black,0.82562,-0.57545,-1.97495,-0.91699,0.25953,0.52975,1.2247,Last Day,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Week,Never,Never
51,35-40,M,Masters degree,UK,White,1.02119,-0.15487,-0.17779,-1.21213,-0.00665,-0.71126,-0.84637,Last Day,Decade Ago,Last Decade,Decade Ago,Last Day,Last Year,Last Day,Last Decade,Never,Last Year,Never,Never,Last Decade,Decade Ago,Never,Last Year,Last Day,Never,Never
52,45-54,M,Professional certificate/diploma,Canada,White,1.13281,0.96248,-0.58331,-0.91699,-1.92173,1.86203,1.92173,Last Decade,Decade Ago,Decade Ago,Decade Ago,Last Day,Last Decade,Last Day,Decade Ago,Never,Never,Never,Never,Never,Decade Ago,Never,Decade Ago,Last Decade,Never,Never
53,55-64,F,University degree,UK,White,-0.14882,0.00332,-1.42424,0.28783,-0.78155,0.52975,-1.54858,Last Week,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
54,45-54,M,Masters degree,UK,White,-1.43907,-0.15487,1.06238,0.28783,0.25953,-0.21712,-0.21575,Last Week,Decade Ago,Decade Ago,Never,Last Day,Decade Ago,Last Week,Decade Ago,Never,Decade Ago,Never,Never,Never,Decade Ago,Never,Decade Ago,Decade Ago,Never,Never
55,55-64,M,Left school at 16 years,UK,White,0.04257,1.11406,-0.58331,-1.07533,-1.13788,1.29221,1.2247,Last Day,Never,Never,Never,Last Day,Last Decade,Last Day,Last Day,Never,Last Year,Never,Never,Last Year,Decade Ago,Never,Decade Ago,Decade Ago,Never,Never
56,55-64,F,Professional certificate/diploma,UK,White,0.04257,-0.69509,-1.11902,-0.45321,-0.40581,-1.37983,-2.07848,Last Year,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
57,35-40,F,"Some college or university, no certificate or degree",UK,White,0.04257,0.00332,-1.68062,-0.01729,0.25953,-1.37983,-1.54858,Last Week,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
58,25-34,F,University degree,UK,White,-0.58016,0.63779,-1.97495,0.28783,0.7583,-0.71126,-0.52593,Decade Ago,Never,Never,Never,Last Day,Never,Last Year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
59,45-54,M,Left school at 18 years,UK,White,0.22393,0.63779,-0.01928,-0.45321,-0.40581,1.86203,1.2247,Last Week,Decade Ago,Decade Ago,Never,Last Day,Last Week,Last Week,Last Week,Last Decade,Last Year,Decade Ago,Last Year,Last Year,Decade Ago,Never,Last Decade,Last Day,Never,Decade Ago
60,45-54,M,University degree,UK,White,-0.46725,-1.23177,-1.27553,-1.6209,-0.14277,-1.37983,-1.54858,Last Week,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
61,25-34,F,Doctorate degree,UK,White,1.37297,0.32197,0.29338,-0.30172,-0.27607,-1.37983,0.07987,Last Week,Never,Never,Last Year,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
62,45-54,M,Masters degree,UK,Asian,-2.21844,1.58487,1.24033,0.13136,1.30612,-1.37983,-1.18084,Last Week,Decade Ago,Never,Never,Last Month,Decade Ago,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never,Decade Ago
63,25-34,M,University degree,UK,White,-0.58016,-1.37639,-1.82919,-1.34289,0.41594,-1.37983,-1.18084,Last Week,Never,Never,Never,Last Week,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Month,Never,Never
64,45-54,M,University degree,UK,White,1.02119,-0.30033,-0.71727,-0.60633,-0.00665,-1.37983,-1.18084,Last Week,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
65,45-54,M,Doctorate degree,UK,White,-1.55078,0.47617,1.06238,-0.45321,0.93949,-1.37983,-0.52593,Last Day,Decade Ago,Never,Decade Ago,Last Day,Last Day,Last Week,Last Month,Never,Never,Never,Never,Never,Decade Ago,Never,Decade Ago,Decade Ago,Never,Never
66,35-40,M,"Some college or university, no certificate or degree",UK,White,0.73545,0.47617,-0.84732,1.11406,0.58489,0.52975,-0.21575,Last Week,Never,Never,Last Year,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
67,45-54,M,Left school at 16 years,UK,White,-1.05308,-0.69509,-1.11902,1.2861,0.41594,-0.71126,-1.18084,Last Month,Never,Never,Never,Never,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
68,25-34,M,Masters degree,UK,White,-0.34799,-0.30033,1.06238,-0.91699,-0.14277,0.88113,-0.21575,Last Week,Decade Ago,Decade Ago,Never,Last Day,Last Decade,Last Week,Decade Ago,Never,Never,Never,Never,Never,Decade Ago,Never,Decade Ago,Last Week,Never,Never
69,35-40,M,Professional certificate/diploma,Other,White,-0.92104,0.00332,0.29338,-0.15487,-0.27607,-0.21712,0.07987,Last Week,Decade Ago,Decade Ago,Never,Last Week,Last Decade,Last Day,Last Year,Never,Last Decade,Never,Decade Ago,Decade Ago,Decade Ago,Never,Decade Ago,Decade Ago,Never,Never
70,45-54,F,Left school at 16 years,UK,White,-0.05188,-0.69509,-1.68062,0.28783,-0.00665,-1.37983,-0.84637,Last Day,Never,Never,Last Day,Decade Ago,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
71,25-34,M,"Some college or university, no certificate or degree",UK,White,-0.34799,-0.30033,0.14143,-1.92595,-0.27607,0.52975,0.7654,Last Day,Last Decade,Decade Ago,Never,Last Month,Last Decade,Last Day,Last Year,Never,Last Year,Never,Last Decade,Last Decade,Last Decade,Never,Never,Last Decade,Never,Decade Ago
72,45-54,F,Left school at 18 years,Canada,White,-0.46725,1.11406,-0.31776,1.11406,0.12331,-2.55524,-0.84637,Last Week,Never,Never,Never,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
73,45-54,M,Left school at 18 years,UK,White,-1.55078,0.96248,-0.01928,0.43852,0.93949,0.19268,0.40148,Last Day,Decade Ago,Decade Ago,Never,Last Day,Decade Ago,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Decade,Never,Never
74,45-54,M,Professional certificate/diploma,UK,White,-0.67825,-0.57545,-0.31776,0.28783,1.13407,-0.71126,-0.21575,Last Day,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
75,65+,F,Left school at 16 years,UK,White,-1.1943,-1.7625,-2.8595,-1.47955,0.25953,0.52975,-2.07848,Last Year,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
76,25-34,M,University degree,UK,White,-0.14882,0.16767,-1.55521,-0.76096,-0.40581,0.52975,-0.21575,Last Week,Never,Never,Never,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
77,45-54,F,Left school at 17 years,Canada,White,-0.34799,-0.69509,-1.55521,0.43852,0.58489,-2.55524,-2.07848,Last Month,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
78,35-40,M,University degree,UK,White,0.13606,-1.6334,-0.58331,-1.21213,-0.40581,-0.21712,-2.07848,Last Year,Decade Ago,Never,Never,Last Day,Last Decade,Last Week,Decade Ago,Never,Decade Ago,Never,Never,Never,Decade Ago,Never,Never,Last Day,Never,Never
79,35-40,M,"Some college or university, no certificate or degree",UK,White,-0.79151,-0.80615,-2.09015,-1.6209,-2.18109,-2.55524,-1.18084,Last Day,Never,Decade Ago,Never,Last Day,Decade Ago,Last Week,Decade Ago,Never,Decade Ago,Never,Never,Never,Never,Never,Never,Last Year,Never,Decade Ago
80,35-40,M,Professional certificate/diploma,UK,White,-0.34799,-0.80615,-1.97495,1.11406,-0.65253,-0.21712,-0.21575,Last Week,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
81,65+,F,Doctorate degree,Canada,White,0.04257,0.32197,0.44585,-0.15487,1.46191,-0.21712,-0.21575,Last Day,Never,Never,Last Year,Last Day,Decade Ago,Last Week,Decade Ago,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
82,55-64,F,University degree,UK,White,-0.79151,-1.23177,-0.01928,-0.91699,-0.14277,0.88113,0.40148,Last Week,Decade Ago,Decade Ago,Decade Ago,Last Day,Last Decade,Last Day,Decade Ago,Never,Never,Decade Ago,Never,Never,Decade Ago,Decade Ago,Decade Ago,Decade Ago,Never,Never
83,55-64,M,Masters degree,Canada,White,-2.05048,1.45421,-0.97631,0.59042,1.46191,-0.21712,-1.18084,Last Week,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
84,55-64,F,Left school at 17 years,UK,Mixed White/Black,1.02119,-0.94779,-1.11902,1.45039,-1.64101,0.19268,-0.21575,Last Year,Never,Never,Last Week,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
85,45-54,M,Left school at 16 years,UK,White,-0.34799,0.16767,-0.31776,-0.30172,-0.14277,-1.37983,0.07987,Last Week,Never,Never,Never,Last Day,Last Decade,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
86,25-34,F,Left school at 18 years,UK,White,-0.46725,0.00332,-1.55521,0.13136,0.41594,0.52975,1.2247,Last Year,Never,Decade Ago,Never,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
87,35-40,M,"Some college or university, no certificate or degree",UK,White,0.73545,-0.15487,-1.11902,0.13136,-0.14277,-0.21712,0.40148,Last Week,Never,Decade Ago,Never,Last Day,Decade Ago,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
88,55-64,M,Left school at 16 years,UK,White,-0.92104,0.16767,-0.45174,-0.30172,0.25953,-0.71126,0.40148,Last Week,Never,Never,Never,Last Week,Decade Ago,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
89,35-40,F,"Some college or university, no certificate or degree",UK,White,0.31287,-1.92173,-1.42424,-0.76096,-0.52745,-1.37983,-2.07848,Last Year,Never,Decade Ago,Decade Ago,Last Day,Last Decade,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Decade Ago,Never,Never
90,35-40,F,Masters degree,UK,White,0.91093,-0.57545,0.29338,-0.60633,-0.27607,0.52975,-0.21575,Last Week,Decade Ago,Decade Ago,Last Decade,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Decade Ago,Never,Never,Decade Ago
91,35-40,F,Masters degree,UK,White,1.37297,0.32197,0.7233,0.28783,-0.78155,-1.37983,0.07987,Last Day,Never,Never,Never,Last Day,Last Year,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Month,Never,Never
92,35-40,M,Professional certificate/diploma,Canada,White,0.41667,-0.43999,0.7233,0.28783,0.7583,0.88113,0.7654,Last Decade,Never,Never,Last Year,Last Day,Decade Ago,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Decade Ago,Decade Ago,Never,Never
93,25-34,M,Left school at 18 years,UK,White,-1.55078,-0.30033,-0.45174,0.28783,-0.00665,-0.71126,-0.84637,Last Month,Never,Never,Never,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
94,65+,F,Left school at 16 years,UK,White,-0.14882,-0.80615,-0.97631,0.76096,0.41594,-1.37983,-1.54858,Last Year,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
95,45-54,M,Masters degree,UK,White,-0.67825,-0.57545,-0.97631,0.59042,-0.14277,-1.37983,-2.07848,Last Week,Never,Never,Last Year,Last Day,Last Decade,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Year,Never,Never
96,45-54,M,Masters degree,UK,White,-0.46725,0.32197,1.06238,-1.6209,1.13407,0.52975,-0.21575,Last Day,Decade Ago,Decade Ago,Decade Ago,Last Day,Decade Ago,Last Day,Decade Ago,Never,Never,Never,Never,Never,Decade Ago,Never,Decade Ago,Decade Ago,Never,Never
97,35-40,F,University degree,Canada,White,0.13606,-1.09207,0.29338,-0.15487,0.7583,-1.37983,-1.54858,Last Month,Decade Ago,Never,Never,Last Day,Last Decade,Last Day,Decade Ago,Never,Never,Never,Never,Never,Decade Ago,Never,Decade Ago,Last Year,Never,Never
98,45-54,F,Masters degree,UK,White,-0.46725,0.63779,-0.31776,-0.60633,-1.13788,0.19268,-0.84637,Last Week,Decade Ago,Never,Decade Ago,Last Day,Decade Ago,Last Week,Decade Ago,Never,Never,Never,Never,Never,Never,Never,Never,Last Decade,Never,Never
99,35-40,M,Doctorate degree,Canada,White,-1.1943,-0.43999,-0.01928,-0.60633,0.93949,-0.21712,1.2247,Last Month,Decade Ago,Never,Never,Last Day,Decade Ago,Last Month,Decade Ago,Never,Never,Never,Never,Never,Decade Ago,Never,Decade Ago,Last Decade,Never,Never
